netflix_id,title,image,imdb_rating,url,content_type,show_type,season_number,year,tv_rating,description,genre,cast,director,duration,language,updated_db,item_category
70143865,Pawn Stars,https://www.whats-on-netflix.com/wp-content/uploads/covers/pawnstars.jpeg,7.2/10,https://www.whats-on-netflix.com/clickout?netflixid=70143865,,TV Series,Season 1,,TV-PG,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas.",Reality-TV,"Rick Harrison, Corey Harrison, Austin 'Chumlee' Russell, Richard Harrison",,30 min,English,"Mar 28, 2020",What’s New on Netflix
70150473,Hunt to Kill,https://www.whats-on-netflix.com/wp-content/uploads/covers/hunttokill.jpeg,5.2/10,https://www.whats-on-netflix.com/clickout?netflixid=70150473,,Movie,,2010,R,U.S. Border Patrol agent and deadly hunter Jim Rhodes takes violent revenge when a group of desperate thieves kidnaps his daughter after a robbery.,"Action, Thriller","Eric Roberts, Steve Austin, Gary Daniels, Marie Avgeropoulos",Keoni Waxman,98 min,English,"Mar 28, 2020",What’s New on Netflix
70153178,Once Upon a Time in Mumbaai,https://www.whats-on-netflix.com/wp-content/uploads/covers/onceuponatimeinmumbaai.jpeg,7.4/10,https://www.whats-on-netflix.com/clickout?netflixid=70153178,,Movie,,2010,Not Rated,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protege will shake up the world of organized crime.","Action, Crime, Drama, Romance","Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai",Milan Luthria,134 min,Hindi,"Mar 28, 2020",What’s New on Netflix
70153543,Sarah's Key,https://www.whats-on-netflix.com/wp-content/uploads/covers/sarahskey.jpeg,7.5/10,https://www.whats-on-netflix.com/clickout?netflixid=70153543,,Movie,,2010,PG-13,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him.","Drama, War","Kristin Scott Thomas, Mélusine Mayance, Niels Arestrup, Frédéric Pierrot",Gilles Paquet-Brenner,111 min,French,"Mar 28, 2020",What’s New on Netflix
70157266,Scare Tactics,https://www.whats-on-netflix.com/wp-content/uploads/covers/scaretactics.jpeg,6.9/10,https://www.whats-on-netflix.com/clickout?netflixid=70157266,,TV Series,2 Seasons,,TV-MA,This ghoulish but hilarious hidden-camera show from Syfy finds mischievous friends and family members setting up unsuspecting victims for elaborate pranks that use high-quality makeup and special effects to unleash their worst fears upon them.,"Comedy, Horror, Reality-TV","Travis Draft, Sarah Colonna, Shannen Doherty, Tracy Morgan",,,English,"Mar 28, 2020",What’s New on Netflix
70157294,Private Practice,https://www.whats-on-netflix.com/wp-content/uploads/covers/privatepractice.jpeg,6.6/10,https://www.whats-on-netflix.com/clickout?netflixid=70157294,,TV Series,6 Seasons,,TV-14,"At Oceanside Wellness Center, Dr. Addison Montgomery deals with competing personalities in the new world of holistic medicine.","Comedy, Drama, Romance","Kate Walsh, Paul Adelstein, KaDee Strickland, Taye Diggs",,60 min,English,"Mar 28, 2020",What’s New on Netflix
70167072,Arthur,https://www.whats-on-netflix.com/wp-content/uploads/covers/arthur.jpeg,5.7/10,https://www.whats-on-netflix.com/clickout?netflixid=70167072,,Movie,,2011,PG-13,Russell Brand stars in this remake as a philanderer who must decide whether to give up an inheritance of millions for the sake of romance.,"Comedy, Romance","Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner",Jason Winer,110 min,English,"Mar 28, 2020",What’s New on Netflix
70171946,Heartland,https://www.whats-on-netflix.com/wp-content/uploads/covers/heartland.jpeg,8.4/10,https://www.whats-on-netflix.com/clickout?netflixid=70171946,,TV Series,Season 11,,TV-PG,"Amy and Ty work hard at parenting their newborn daughter and running the ranch, Georgie considers her future, and Tim struggles with personal issues.","Drama, Family","Amber Marshall, Shaun Johnston, Graham Wardle, Chris Potter",,45 min,English,"Mar 28, 2020",What’s New on Netflix
70171947,Scooby-Doo!: Mystery Incorporated,https://www.whats-on-netflix.com/wp-content/uploads/covers/scoobydoomysteryincorporated.jpeg,8.0/10,https://www.whats-on-netflix.com/clickout?netflixid=70171947,,TV Series,Seasons 1-2,,TV-Y7,"In this animated update of the cartoon classic, Scooby-Doo, Shaggy and their pals solve spooky mysteries in a hamlet bedeviled by supernatural bedlam.","Animation, Short, Action, Adventure, Comedy, Crime, Drama, Family, Fantasy, Horror, Mystery, Thriller","Frank Welker, Mindy Cohn, Grey Griffin, Matthew Lillard",,23 min,English,"Mar 28, 2020",What’s New on Netflix
70172485,Victorious,https://www.whats-on-netflix.com/wp-content/uploads/covers/victorious.jpeg,6.8/10,https://www.whats-on-netflix.com/clickout?netflixid=70172485,,TV Series,3 Seasons,,TV-G,"When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens.","Comedy, Drama, Family, Music, Romance","Victoria Justice, Leon Thomas III, Matt Bennett, Elizabeth Gillies",,30 min,English,"Mar 28, 2020",What’s New on Netflix
70172928,War Horse,https://www.whats-on-netflix.com/wp-content/uploads/covers/warhorse.jpeg,7.2/10,https://www.whats-on-netflix.com/clickout?netflixid=70172928,,Movie,,2011,PG-13,"During World War I, the bond between a young Englishman and his loyal horse, Joey, is tested when Joey is sold to the cavalry and sent to France.","Drama, History, War","Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup",Steven Spielberg,146 min,English,"Mar 28, 2020",What’s New on Netflix
70173046,Young Adult,https://www.whats-on-netflix.com/wp-content/uploads/covers/youngadult.jpeg,6.3/10,https://www.whats-on-netflix.com/clickout?netflixid=70173046,,Movie,,2011,R,"When a divorced writer gets a letter from an old boyfriend announcing his wife's had a baby, she returns to her hometown to reconnect with her ex.","Comedy, Drama","Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser",Jason Reitman,94 min,English,"Mar 28, 2020",What’s New on Netflix
70177057,The Walking Dead,https://www.whats-on-netflix.com/wp-content/uploads/covers/thewalkingdead.jpeg,8.3/10,https://www.whats-on-netflix.com/clickout?netflixid=70177057,,TV Series,Season 9,,TV-MA,"In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival.","Drama, Horror, Thriller","Norman Reedus, Melissa McBride, Andrew Lincoln, Danai Gurira",,44 min,English,"Mar 28, 2020",What’s New on Netflix
